# One line per accepted finding: file|defun|kind|detail
# Regenerate with: python3 tools/check_scope.py --update-baseline
shared/parts/abhd.lsp|pf:ask-tol|setq-global|*pf-tol*
shared/parts/abhd.lsp|pf:bottom-draw|setq|pf-phase
shared/parts/abhd.lsp|pf:bottom|setq-global|*pf-hop-off*
shared/parts/abhd.lsp|pf:bottom|setq|pf-phase
shared/parts/abhd.lsp|pf:compare|setq|pf-phase
shared/parts/abhd.lsp|pf:declare-corners|setq|pf-decl-marks
shared/parts/abhd.lsp|pf:declare-corners|setq|pf-phase
shared/parts/abhd.lsp|pf:declare-holds|setq|pf-decl-marks
shared/parts/abhd.lsp|pf:declare-holds|setq|pf-phase
shared/parts/abhd.lsp|pf:declare-walls|setq|pf-decl-marks
shared/parts/abhd.lsp|pf:declare-walls|setq|pf-phase
shared/parts/abhd.lsp|pf:dim-style|setq|pf-dim-warned
shared/parts/abhd.lsp|pf:edit-corners|setq|pf-corners
shared/parts/abhd.lsp|pf:edit-corners|setq|pf-phase
shared/parts/abhd.lsp|pf:edit-holds|setq|pf-holds
shared/parts/abhd.lsp|pf:edit-holds|setq|pf-phase
shared/parts/abhd.lsp|pf:edit-walls|setq|pf-phase
shared/parts/abhd.lsp|pf:edit-walls|setq|pf-walls
shared/parts/abhd.lsp|pf:fit-arc-seg|setq|pf-miss-left
shared/parts/abhd.lsp|pf:fit-session|setq|pf-phase
shared/parts/abhd.lsp|pf:guided-fit|setq|pf-miss-left
shared/parts/abhd.lsp|pf:has-arcs|foreach|s
shared/parts/abhd.lsp|pf:omit-loop|setq|pf-omitted
shared/parts/abhd.lsp|pf:prune-declared|setq|pf-corners
shared/parts/abhd.lsp|pf:prune-declared|setq|pf-holds
shared/parts/abhd.lsp|pf:prune-declared|setq|pf-walls
